condition,run,seed,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,consolidation_strength,dynamic_stubbornness,initial_variance,final_variance,variance_change,initial_pairwise_distance,final_pairwise_distance,pairwise_distance_change,final_extremity,polarization_score,ever_flip_fraction,persistent_flip_fraction,mean_crossings,maximum_crossings,mean_edge_distance,same_side_edge_fraction,final_clustering,mean_beta_level,popularity_strength_level,exploration_level,mu_content_level,mu_social_level,mean_epsilon_level,mean_susceptibility_level,homophily_strength_level,rewiring_fraction_level,rewire_interval_level,consolidation_strength_level
search_005,1,14874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.6261305919246798,0.23867980508055175,0.6933205503850062,0.8228490932399113,0.12952854285490512,0.7900849392811634,0.6501206758700157,0.01,0.01,0.01,1,0.5293999184717552,0.6833333333333333,0.2400757575757574,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_005,2,15874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.617981340573816,0.230530553729688,0.6933205503850062,0.8230297425949556,0.12970919220994948,0.7808769549111062,0.6426849591988205,0.01,0.01,0.01,1,0.48416002829097143,0.7201365187713311,0.27847619047619016,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_005,3,16874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.6177672151489452,0.23031642830481713,0.6933205503850062,0.8214242625835848,0.12810371219857863,0.7821542426436998,0.6424804719902234,0.0,0.0,0.0,0,0.5402565922802054,0.6733333333333333,0.24963636363636357,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_005,4,17874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.627011527286458,0.23956074044233,0.6933205503850062,0.8316993396884922,0.13837878930348602,0.7874060370612534,0.6548850810905769,0.0,0.0,0.0,0,0.5040007683853114,0.6933333333333334,0.29728499278499265,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_005,5,18874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.6288104924783007,0.24135970563417264,0.6933205503850062,0.8289293166984263,0.13560876631342011,0.7901776084633484,0.65500138505392,0.0,0.0,0.0,0,0.5132359444118392,0.6933333333333334,0.28453174603174575,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_005,6,19874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.618004639638845,0.23055385279471696,0.6933205503850062,0.8195521151726494,0.1262315647876432,0.7846638750885216,0.6430729385283654,0.0,0.0,0.0,0,0.48639492444829224,0.71,0.26737734487734455,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_005,7,20874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.6203994431210242,0.2329486562768962,0.6933205503850062,0.8267890188841206,0.13346846849911442,0.7814559367016944,0.6460991872067654,0.0,0.0,0.0,0,0.5130021130578929,0.6952054794520548,0.2652142857142855,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
search_006,0,13875,4.0,0.0,0.1,0.25,0.35,0.55,0.25,3.0,0.01,20,0.0,False,0.38745078684412804,0.550795111688773,0.163344324844645,0.6933205503850062,0.7781283830146668,0.08480783262966063,0.7376764205278542,0.5740069602933866,0.03,0.03,0.03,1,0.5640931504588104,0.64,0.4179682539682538,moderate,none,moderate,moderate,strong,moderate,resistant,moderate,slow,moderate,none
search_006,1,14875,4.0,0.0,0.1,0.25,0.35,0.55,0.25,3.0,0.01,20,0.0,False,0.38745078684412804,0.5376188808394784,0.15016809399535036,0.6933205503850062,0.7687186112886362,0.07539806090363,0.7298931071122691,0.5610824156884913,0.02,0.02,0.02,1,0.5686184139108735,0.63,0.406,moderate,none,moderate,moderate,strong,moderate,resistant,moderate,slow,moderate,none
search_006,2,15875,4.0,0.0,0.1,0.25,0.35,0.55,0.25,3.0,0.01,20,0.0,False,0.38745078684412804,0.5602217537292727,0.1727709668851447,0.6933205503850062,0.782040642203302,0.08872009181829588,0.7460921710465379,0.5834744005880904,0.0,0.0,0.0,0,0.5926903168602451,0.6166666666666667,0.4175634920634919,moderate,none,moderate,moderate,strong,moderate,resistant,moderate,slow,moderate,none
